Tech_num,Tech_name,Cost,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
27,CAES_Cand,Power,1496.26466,1501.025154,1506.24077,1511.966521,1518.266667,1525.216728,1514.859648,1504.425328,1493.910759,1483.312774,1472.628035,1461.853026,1450.984037,1440.017153,1428.948237,1417.772918,1406.486569,1395.084292,1383.560896,1371.910878,1360.128391,1348.207229,1336.140788,1323.922038,1311.543489,1298.997153
28,Zinc_Cand,Power,169.4879843,170.0272249,170.6180188,171.266598,171.9802412,172.7675028,171.5943143,170.4123764,169.2213484,168.0208715,166.8105676,165.5900385,164.3588639,163.1166004,161.8627793,160.5969054,159.3184547,158.0268724,156.7215706,155.4019255,154.0672754,152.7169169,151.350102,149.9660345,148.5638659,147.1426914
29,Hydrogen_Cand,Power,3755.183072,3767.130511,3780.220167,3794.590116,3810.401623,3827.844226,3801.851011,3775.663945,3749.275478,3722.677659,3695.862114,3668.820019,3641.542062,3614.018417,3586.238703,3558.191947,3529.866539,3501.250186,3472.329861,3443.09175,3413.521184,3383.602582,3353.319372,3322.653913,3291.587406,3260.099802
31,Iron_Air_Cand,Power,2137.374486,2144.174727,2151.625095,2159.80418,2168.803772,2178.731749,2163.936935,2149.031786,2134.012002,2118.87306,2103.610193,2088.218377,2072.692314,2057.02641,2041.214757,2025.251109,2009.128858,1992.841007,1976.380141,1959.738398,1942.907428,1925.878363,1908.641771,1891.18761,1873.505181,1855.583071
17,ES_4hr_Cand,Energy,433.2424496,415.1584163,397.0975908,379.0624237,361.0557233,343.0807231,340.731724,338.3827248,336.0337257,333.6847266,331.3357275,328.9867284,326.6377293,324.2887302,321.9397311,319.590732,317.2417328,314.8927337,312.5437346,310.1947355,307.8457364,305.4967373,303.1477382,300.7987391,298.4497399,296.1007408
18,ES_6hr_Cand,Energy,433.2424496,415.1584163,397.0975908,379.0624237,361.0557233,343.0807231,340.731724,338.3827248,336.0337257,333.6847266,331.3357275,328.9867284,326.6377293,324.2887302,321.9397311,319.590732,317.2417328,314.8927337,312.5437346,310.1947355,307.8457364,305.4967373,303.1477382,300.7987391,298.4497399,296.1007408
19,ES_8hr_Cand,Energy,433.2424496,415.1584163,397.0975908,379.0624237,361.0557233,343.0807231,340.731724,338.3827248,336.0337257,333.6847266,331.3357275,328.9867284,326.6377293,324.2887302,321.9397311,319.590732,317.2417328,314.8927337,312.5437346,310.1947355,307.8457364,305.4967373,303.1477382,300.7987391,298.4497399,296.1007408
20,ES_10hr_Cand,Energy,433.2424496,415.1584163,397.0975908,379.0624237,361.0557233,343.0807231,340.731724,338.3827248,336.0337257,333.6847266,331.3357275,328.9867284,326.6377293,324.2887302,321.9397311,319.590732,317.2417328,314.8927337,312.5437346,310.1947355,307.8457364,305.4967373,303.1477382,300.7987391,298.4497399,296.1007408
21,ES_100hr_Cand,Energy,433.2424496,415.1584163,397.0975908,379.0624237,361.0557233,343.0807231,340.731724,338.3827248,336.0337257,333.6847266,331.3357275,328.9867284,326.6377293,324.2887302,321.9397311,319.590732,317.2417328,314.8927337,312.5437346,310.1947355,307.8457364,305.4967373,303.1477382,300.7987391,298.4497399,296.1007408
22,Li_Ion_Cand,Energy,460.9731455,441.9476363,422.8855429,403.7824431,384.6331716,365.4316577,358.7767679,352.128087,345.4858568,338.8503318,332.2217804,325.6004853,318.9867445,312.3808728,305.7832028,299.1940859,292.613894,286.0430207,279.4818833,272.9309244,266.3906136,259.86145,253.3439645,246.8387221,240.3463248,233.8674149
